PMC1287824	M05000	140	163	AmpliTaq DNA polymerase
PMC2467291	D04000	130	133	GST
PMC2467291	D10000	52	60	elastase
PMC2467291	D10001	78	86	elastase
PMC2467291	R01000	159	185	glutathione-S-transferases
PMC2467291	R01001	55	62	kinases
PMC2467291	R01002	97	137	glyceraldehyde-3-phosphate-dehydrogenase
PMC2467291	R02000	82	85	GST
PMC2467291	R02001	84	106	thioredoxin peroxidase
PMC2467291	R06000	42	57	serine protease
PMC2577687	I04000	89	104	pyruvate kinase
PMC2577687	R21000	74	84	hexokinase
PMC2679092	D08000	0	25	Pyruvate dehydrogenase E1
PMC2687076	D05000	345	373	glycoprotein metalloprotease
PMC2719288	I41000	47	64	metalloproteinase
PMC2719288	I46000	71	95	guanosine triphosphatase
PMC2719288	I49000	86	114	protein tyrosine phosphatase
PMC2719288	I49001	25	53	protein tyrosine phosphatase
PMC2719288	I54000	158	191	lysine deficient protein kinase 1
PMC2727417	I01000	181	216	methylenetetrahydrofolate reductase
PMC2727417	M03000	224	229	MTHFR
PMC2727417	M04000	257	262	MTHFR
PMC2727417	M04001	4	7	MTR
PMC2727417	R01000	66	71	MTHFR
PMC2757939	R12000	41	54	NADPH oxidase
PMC2764366	A01000	183	200	HMG-CoA reductase
PMC2764366	A02000	26	31	HMGCR
PMC2764366	D00000	30	35	HMGCR
PMC2764366	D00001	116	121	HMGCR
PMC2764366	D00002	169	174	HMGCR
PMC2764366	D00003	81	86	HMGCR
PMC2764366	D01000	0	17	HMG-CoA reductase
PMC2764366	D01001	145	150	HMGCR
PMC2764366	D01002	118	123	HMGCR
PMC2764366	D01003	68	73	HMGCR
PMC2764366	D01004	62	67	HMGCR
PMC2764366	D02000	127	132	HMGCR
PMC2764366	D03000	0	5	HMGCR
PMC2764366	D04000	36	41	HMGCR
PMC2764366	D05000	60	65	HMGCR
PMC2764366	I04000	54	59	HMGCR
PMC2764366	I04001	165	170	HMGCR
PMC2764366	M06000	88	93	HMGCR
PMC2764366	M07000	35	40	HMGCR
PMC2764366	M07001	222	227	HMGCR
PMC2764366	M07002	0	5	HMGCR
PMC2764366	M08000	27	32	HMGCR
PMC2764366	M08001	76	81	HMGCR
PMC2764366	R02000	74	79	HMGCR
